n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower
5 1 1 1 0 ras True True 0.00255 0.028 0.0 124.91 124.91 124.91
5 1 1 1 1 ras True True 0.00336 0.025 0.0 124.91 124.91 124.91
5 1 1 2 0 ras True True 0.00213 0.024 0.0 124.91 124.91 124.91
5 1 1 2 1 ras True True 0.00425 0.031 0.0 124.91 124.91 124.91
5 1 1 3 0 ras True True 0.00213 0.028 0.0 124.91 124.91 124.91
5 1 1 3 1 ras True True 0.00476 0.034 0.0 124.91 124.91 124.91
5 1 2 1 0 ras True True 0.00225 0.027 0.0 147.3 147.3 147.3
5 1 2 1 1 ras True True 0.00238 0.029 0.0 147.3 147.3 147.3
5 1 2 2 0 ras True True 0.00246 0.027 0.0 147.3 147.3 147.3
5 1 2 2 1 ras True True 0.00451 0.032 0.0 147.3 147.3 147.3
5 1 2 3 0 ras True True 0.00358 0.027 0.0 147.3 147.3 147.3
5 1 2 3 1 ras True True 0.00473 0.049 0.0 147.3 147.3 147.3
5 1 3 1 0 ras True True 0.0025 0.03 0.0 137.19 137.19 137.19
5 1 3 1 1 ras True True 0.0023 0.03 0.0 137.19 137.19 137.19
5 1 3 2 0 ras True True 0.00227 0.03 0.0 137.19 137.19 137.19
5 1 3 2 1 ras True True 0.00397 0.029 0.0 137.19 137.19 137.19
5 1 3 3 0 ras True True 0.00217 0.026 0.0 137.19 137.19 137.19
5 1 3 3 1 ras True True 0.00453 0.034 0.0 137.19 137.19 137.19
5 1 4 1 0 ras True True 0.0023 0.028 0.0 122.2 122.2 122.2
5 1 4 1 1 ras True True 0.00247 0.03 0.0 122.2 122.2 122.2
5 1 4 2 0 ras True True 0.00235 0.026 0.0 122.2 122.2 122.2
5 1 4 2 1 ras True True 0.00713 0.031 0.0 122.2 122.2 122.2
5 1 4 3 0 ras True True 0.00193 0.03 0.0 122.2 122.2 122.2
5 1 4 3 1 ras True True 0.00496 0.037 0.0 122.2 122.2 122.2
5 1 5 1 0 ras True True 0.00242 0.029 0.0 112.29 112.29 112.29
5 1 5 1 1 ras True True 0.00235 0.026 0.0 112.29 112.29 112.29
5 1 5 2 0 ras True True 0.00217 0.026 0.0 112.29 112.29 112.29
5 1 5 2 1 ras True True 0.00633 0.034 0.0 112.29 112.29 112.29
5 1 5 3 0 ras True True 0.00213 0.029 0.0 112.29 112.29 112.29
5 1 5 3 1 ras True True 0.00487 0.033 0.0 112.29 112.29 112.29
5 2 1 1 0 ras True True 0.00357 0.033 0.0 66.71 66.71 66.71
5 2 1 1 1 ras True True 0.00231 0.04 0.0 66.71 66.71 66.71
5 2 1 2 0 ras True True 0.00224 0.027 0.0 66.71 66.71 66.71
5 2 1 2 1 ras True True 0.00446 0.034 0.0 66.71 66.71 66.71
5 2 1 3 0 ras True True 0.00229 0.041 0.0 66.71 66.71 66.71
5 2 1 3 1 ras True True 0.00462 0.042 0.0 66.71 66.71 66.71
5 2 2 1 0 ras True True 0.00365 0.04 0.0 51.66 51.66 51.66
5 2 2 1 1 ras True True 0.00224 0.038 0.7 51.66 51.66 51.3
5 2 2 2 0 ras True True 0.00222 0.025 0.0 51.66 51.66 51.66
5 2 2 2 1 ras True True 0.00443 0.031 0.0 51.66 51.66 51.66
5 2 2 3 0 ras True True 0.00203 0.026 0.0 51.66 51.66 51.66
5 2 2 3 1 ras True True 0.00501 0.041 0.0 51.66 51.66 51.66
5 2 3 1 0 ras True True 0.00422 0.04 0.0 93.06 93.06 93.06
5 2 3 1 1 ras True True 0.00216 0.028 0.0 93.06 93.06 93.06
5 2 3 2 0 ras True True 0.00226 0.027 0.0 93.06 93.06 93.06
5 2 3 2 1 ras True True 0.00479 0.034 0.0 93.06 93.06 93.06
5 2 3 3 0 ras True True 0.00217 0.031 0.0 93.06 93.06 93.06
5 2 3 3 1 ras True True 0.00471 0.058 0.0 93.06 93.06 93.06
5 2 4 1 0 ras True True 0.00278 0.033 0.0 112.45 112.45 112.45
5 2 4 1 1 ras True True 0.00221 0.034 0.0 142.43 142.43 142.43
